-10 183.782 -160 60
-10 86.8912 -160 -50
-10 38.4456 -160 -105
-10 14.2228 -160 -132.5
14.2228 38.4456 -160 -132.5
-10 14.2228 -132.5 -105
14.2228 38.4456 -132.5 -105
14.2228 26.3342 -132.5 -118.75
26.3342 38.4456 -132.5 -118.75
14.2228 26.3342 -118.75 -105
14.2228 20.2785 -118.75 -111.875
20.2785 26.3342 -118.75 -111.875
14.2228 20.2785 -111.875 -105
14.2228 17.2507 -111.875 -108.438
17.2507 20.2785 -111.875 -108.438
14.2228 17.2507 -108.438 -105
17.2507 20.2785 -108.438 -105
20.2785 26.3342 -111.875 -105
20.2785 23.3064 -111.875 -108.438
23.3064 26.3342 -111.875 -108.438
20.2785 23.3064 -108.438 -105
23.3064 26.3342 -108.438 -105
26.3342 38.4456 -118.75 -105
26.3342 32.3899 -118.75 -111.875
26.3342 29.3621 -118.75 -115.313
29.3621 32.3899 -118.75 -115.313
26.3342 29.3621 -115.313 -111.875
29.3621 32.3899 -115.313 -111.875
32.3899 38.4456 -118.75 -111.875
32.3899 35.4178 -118.75 -115.313
35.4178 38.4456 -118.75 -115.313
32.3899 35.4178 -115.313 -111.875
35.4178 38.4456 -115.313 -111.875
26.3342 32.3899 -111.875 -105
26.3342 29.3621 -111.875 -108.438
29.3621 32.3899 -111.875 -108.438
26.3342 29.3621 -108.438 -105
29.3621 32.3899 -108.438 -105
32.3899 38.4456 -111.875 -105
32.3899 35.4178 -111.875 -108.438
35.4178 38.4456 -111.875 -108.438
32.3899 35.4178 -108.438 -105
35.4178 38.4456 -108.438 -105
38.4456 86.8912 -160 -105
38.4456 62.6684 -160 -132.5
62.6684 86.8912 -160 -132.5
62.6684 74.7798 -160 -146.25
74.7798 86.8912 -160 -146.25
62.6684 74.7798 -146.25 -132.5
62.6684 68.7241 -146.25 -139.375
68.7241 74.7798 -146.25 -139.375
62.6684 68.7241 -139.375 -132.5
62.6684 65.6963 -139.375 -135.938
